,p1,p2,seed,our_ilp_max_2_alt_alteration_recall,our_ilp_max_2_alt_alteration_precision,our_ilp_max_2_alt_pathway_accuracy,our_ilp_max_2_alt_dependency_accuracy,our_ilp_no_max_alt_alteration_recall,our_ilp_no_max_alt_alteration_precision,our_ilp_no_max_alt_pathway_accuracy,our_ilp_no_max_alt_dependency_accuracy,MASTRO_trajectory_accuracy,MASTRO_alteration_precision,MASTRO_alteration_recall,MASTRO_expanded_dependency_precision,MASTRO_expanded_dependency_recall,MASTRO_expanded_dependency_accuracy,PhyloPath_expanded_dependency_precision,PhyloPath_expanded_dependency_recall,PhyloPath_expanded_dependency_accuracy,our_ilp_max_2_alt_alteration_f1,our_ilp_no_max_alt_alteration_f1,MASTRO_alteration_f1,MASTRO_expanded_dependency_f1,PhyloPath_expanded_dependency_f1
48,0.5,1.0,9,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.45454545454545453,1.0,0.21052631578947367,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.625,0.34782608695652173,1.0
49,0.5,1.0,10,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.4545454545454545,0.0,0.0,,0.4166666666666667,1.0,0.21052631578947367,1.0,1.0,0.6,1.0,1.0,0.9090909090909091,0.6249999999999999,0.5882352941176471,0.34782608695652173,0.7499999999999999
50,0.5,1.0,11,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,,0.7142857142857143,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333333,0.4,1.0
51,0.5,1.0,12,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,0.0,,0.5555555555555556,1.0,0.21052631578947367,1.0,1.0,0.6,1.0,1.0,0.9090909090909091,0.5,0.7142857142857143,0.34782608695652173,0.7499999999999999
52,0.5,1.0,13,1.0,1.0,1.0,1.0,1.0,0.4545454545454545,0.3333333333333333,0.0,,0.4166666666666667,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.6249999999999999,0.5882352941176471,0.33333333333333337,1.0
53,0.5,1.0,14,1.0,1.0,1.0,1.0,1.0,0.3571428571428571,0.0,0.0,,0.5,1.0,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.5263157894736841,0.6666666666666666,0.3636363636363636,1.0
54,0.5,1.0,15,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.45454545454545453,1.0,0.16,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.625,0.2758620689655173,1.0
55,0.5,1.0,16,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.625,0.3333333333333333,0.0,,0.625,1.0,0.23529411764705882,1.0,1.0,0.6,1.0,1.0,0.9090909090909091,0.7692307692307693,0.7692307692307693,0.38095238095238093,0.7499999999999999
56,0.5,1.0,17,1.0,1.0,1.0,1.0,1.0,0.3125,0.0,0.0,,0.7142857142857143,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.47619047619047616,0.8333333333333333,0.4,1.0
57,0.5,1.0,18,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,,0.8333333333333334,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.9090909090909091,0.5714285714285715,1.0
58,0.5,1.0,19,1.0,1.0,1.0,1.0,1.0,0.3571428571428571,0.0,0.0,,0.7142857142857143,1.0,0.25,0.75,0.75,1.0,1.0,1.0,1.0,0.5263157894736841,0.8333333333333333,0.375,1.0
59,0.5,1.0,20,1.0,1.0,1.0,1.0,1.0,0.3846153846153846,0.0,0.0,,0.45454545454545453,1.0,0.19047619047619047,1.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555555,0.625,0.32,1.0
60,0.8,0.2,1,0.8,0.6666666666666666,0.3333333333333333,0.0,0.6,0.15,0.0,0.0,<NOT_DONE>,0.25,0.2,0.0,0.0,0.0,0.4,0.6666666666666666,0.6666666666666666,0.7272727272727272,0.24,0.22222222222222224,,0.5
61,0.8,0.2,2,0.8,0.6666666666666666,0.3333333333333333,0.0,1.0,0.238095238095238,0.0,0.0,<NOT_DONE>,0.5,0.6,0.0,0.0,0.0,0.5,0.8333333333333334,0.8333333333333334,0.7272727272727272,0.3846153846153845,0.5454545454545454,,0.625
62,0.8,0.2,3,0.4,0.3333333333333333,0.0,0.0,0.6,0.1304347826086956,0.0,0.0,<NOT_DONE>,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.3333333333333333,0.3636363636363636,0.21428571428571422,,,0.25
63,0.8,0.2,4,0.6,0.5,0.3333333333333333,0.0,0.8,0.2222222222222222,0.0,0.0,<NOT_DONE>,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.3333333333333333,0.5454545454545454,0.3478260869565218,,,0.25
64,0.8,0.2,5,0.8,0.6666666666666666,0.3333333333333333,0.0,0.6,0.1304347826086956,0.0,0.0,<NOT_DONE>,0.5,0.4,0.0,0.0,0.0,0.5,0.8333333333333334,0.8333333333333334,0.7272727272727272,0.21428571428571422,0.4444444444444445,,0.625
65,0.8,0.5,1,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,<NOT_DONE>,0.7142857142857143,1.0,0.3,0.75,0.75,1.0,1.0,1.0,1.0,0.5882352941176471,0.8333333333333333,0.4285714285714285,1.0
66,0.8,0.5,2,1.0,0.8333333333333334,0.6666666666666666,0.0,0.8,0.1904761904761904,0.0,0.0,<NOT_DONE>,0.8333333333333334,1.0,0.36363636363636365,1.0,1.0,0.6,1.0,1.0,0.9090909090909091,0.3076923076923076,0.9090909090909091,0.5333333333333333,0.7499999999999999
67,0.8,0.5,3,1.0,1.0,1.0,1.0,1.0,0.3571428571428571,0.0,0.0,<NOT_DONE>,0.625,1.0,0.2,0.5,0.5,1.0,1.0,1.0,1.0,0.5263157894736841,0.7692307692307693,0.28571428571428575,1.0
68,0.8,0.5,4,1.0,1.0,1.0,1.0,1.0,0.2631578947368421,0.0,0.0,<NOT_DONE>,0.7142857142857143,1.0,0.3,0.75,0.75,1.0,1.0,1.0,1.0,0.4166666666666667,0.8333333333333333,0.4285714285714285,1.0
